clip_id,baseline_plausible,baseline_rated,baseline_plausibility,baseline_diversity,modified_plausible,modified_rated,modified_plausibility,modified_diversity,completed
clip_001,3,5,0.6000,2,1,5,0.2000,3,yes
clip_002,2,5,0.4000,3,3,5,0.6000,3,yes
clip_003,2,5,0.4000,4,3,5,0.6000,3,yes
clip_004,0,5,0.0000,2,1,5,0.2000,3,yes
clip_005,2,5,0.4000,2,1,5,0.2000,4,yes
clip_006,2,5,0.4000,2,0,5,0.0000,4,yes
clip_007,0,5,0.0000,3,1,5,0.2000,4,yes
clip_008,3,5,0.6000,3,2,5,0.4000,4,yes
clip_009,0,5,0.0000,3,0,5,0.0000,3,yes
clip_010,2,5,0.4000,4,1,5,0.2000,4,yes
clip_011,1,5,0.2000,4,2,5,0.4000,3,yes
clip_012,3,5,0.6000,3,2,5,0.4000,3,yes
clip_013,1,5,0.2000,4,1,5,0.2000,4,yes
clip_014,2,5,0.4000,4,2,5,0.4000,4,yes
clip_015,1,5,0.2000,3,0,5,0.0000,5,yes
clip_016,1,5,0.2000,3,1,5,0.2000,3,yes
clip_017,1,5,0.2000,3,1,5,0.2000,3,yes
clip_018,3,5,0.6000,3,1,5,0.2000,3,yes
clip_019,2,5,0.4000,3,0,5,0.0000,3,yes
clip_020,1,5,0.2000,3,1,5,0.2000,4,yes
clip_021,3,5,0.6000,2,0,5,0.0000,4,yes
clip_022,2,5,0.4000,2,2,5,0.4000,3,yes
clip_023,3,5,0.6000,2,1,5,0.2000,3,yes
clip_024,3,5,0.6000,3,3,5,0.6000,3,yes
clip_025,3,5,0.6000,4,3,5,0.6000,4,yes
clip_026,2,5,0.4000,2,2,5,0.4000,4,yes
clip_027,1,5,0.2000,3,1,5,0.2000,3,yes
clip_028,4,5,0.8000,4,2,5,0.4000,4,yes
clip_029,1,5,0.2000,3,1,5,0.2000,4,yes
clip_030,2,5,0.4000,3,1,5,0.2000,5,yes
clip_031,3,5,0.6000,2,0,5,0.0000,4,yes
clip_032,1,5,0.2000,4,2,5,0.4000,4,yes
clip_033,2,5,0.4000,3,2,5,0.4000,5,yes
clip_034,1,5,0.2000,4,2,5,0.4000,3,yes
clip_035,1,5,0.2000,4,1,5,0.2000,3,yes
clip_036,5,5,1.0000,3,2,5,0.4000,4,yes
clip_037,2,5,0.4000,2,1,5,0.2000,5,yes
clip_038,4,5,0.8000,3,2,5,0.4000,4,yes
clip_039,0,5,0.0000,4,0,5,0.0000,4,yes
clip_040,5,5,1.0000,3,4,5,0.8000,3,yes
clip_041,5,5,1.0000,3,3,5,0.6000,3,yes
clip_042,2,5,0.4000,2,1,5,0.2000,3,yes
clip_043,0,5,0.0000,2,0,5,0.0000,4,yes
clip_044,3,5,0.6000,2,2,5,0.4000,3,yes
clip_045,5,5,1.0000,2,1,5,0.2000,4,yes
clip_046,5,5,1.0000,4,2,5,0.4000,4,yes
clip_047,3,5,0.6000,3,2,5,0.4000,4,yes
clip_048,2,5,0.4000,2,4,5,0.8000,2,yes
clip_049,1,5,0.2000,2,1,5,0.2000,3,yes
clip_050,1,5,0.2000,2,3,5,0.6000,4,yes
